die	the
american	american
nelson	nelson
verbied	deny
marie	marie
islamitiese	islamic
wysig	edit
wysig	modify
wysig	change
oorloë	wars
hoogtepunt	highlight
kanaal	canal
kanaal	channel
vergelyk	compare
maksimum	max
maksimum	maximum
fisiese	physical
dokumente	docs
betref	concerns
veldtog	campaign
hare	hair
tekste	texts
gehoor	audience
gehoor	hearing
toeriste	tourist
toeriste	tourists
bynaam	nickname
planne	plans
gedwing	forced
joernalis	journalist
león	león
werklikheid	reality
instituut	institute
gedefinieer	defined
direkte	direct
naaste	nearest
naaste	closest
vervaardiging	manufacturing
karl	karl
turkse	turkish
programme	applications
programme	programs
programme	shows
tipies	typically
strand	beach
strand	reno
gram	grams
gram	gram
nicolaas	nicholas
nicolaas	nicolaas
bewyse	evidence
chili	chile
beskerming	protection
nommer	number
video	video
gebruiker	user
voedsel	food
prinses	princess
passasiers	passengers
passasiers	passenger
ngc	mice
ngc	ngc
brits	british
lodewyk	louis
stap	step
leiers	leadership
leiers	leaders
angeles	angeles
tuin	garden
jonger	hiring
jonger	younger
toestande	conditions
industriële	industrial
redelik	fair
spoed	speed
halfrond	hemisphere
friedrich	friedrich
bal	ball
aparte	separate
verkiesings	elections
belgiese	belgian
instellings	formatting
sendeling	missionary
hoeveelhede	doses
gemeenskappe	communities
vreemde	unidentified
sing	sings
sing	singing
uitgebreide	extended
miskien	maybe
rekord	record
suksesvol	successful
suksesvol	successfully
suksesvol	success
oekraïne	ukraine
permanente	permanent
bande	ties
stert	tail
geldeenheid	currency
skade	injury
reinet	reinet
skildery	painting
otto	otto
bedoel	meant
bedoel	intended
bedoel	mean
begrip	understanding
innocentius	innocent
bekendheid	fame
encyclopaedia	encyclopaedia
valign	valign
bydraes	contributions
more	tomorrow
more	morning
pryse	prices
pryse	pricing
beëindig	terminated
beëindig	end
als	all
switserse	swiss
hoogs	top
toekennings	awards
hang	hanging
konsep	draft
fase	phase
nabygeleë	nearby
tradisioneel	traditional
onderwerpe	topics
gedrag	behaviour
gedrag	behavior
pienaar	pienaar
elektroniese	electronic
dankie	thanks
coastal	coastal
inval	invasion
inval	raid
bisantynse	byzantine
jupiter	jupiter
stasie	station
parlementêre	parliamentary
sagteware	software
apostoliese	apostolic
niet	niet
breek	break
chicago	chicago
kamer	room
samesteller	constructors
samesteller	composer
verwag	expected
medalje	medal
verwoes	destroy
matt	matt
eiers	eggs
plase	farms
ondernemings	initiatives
ondernemings	enterprises
elaine	elaine
stephen	stephen
julle	you
verwerp	unlike
verwerp	rejected
verwerp	reject
verwerp	discard
verwerp	declined
vereer	honoring
digitale	digital
standbeeld	statue
tak	branch
bloed	blood
kans	chance
antwoord	reply
antwoord	response
roete	route
spoorlyn	railway
oorgedra	transmitted
oorgedra	transferred
finale	final
nasie	nation
effek	effect
wentelbaan	orbit
gratis	free
vermoedelik	presumably
geskik	eligible
del	delaware
heer	king
konings	kings
goedgekeur	approved
oplossing	solution
daaropvolgende	subsequent
nazi	nazi
onlangs	recently
grys	gray
grys	grainy
grys	grey
grys	greys
publikasies	encyclicals
publikasies	publications
grey	grey
samestelling	composition
fifa	fifa
anne	anne
uitsondering	exception
bene	bones
bene	bene
kongo	congo
priester	priester
hotel	hotel
bygevoeg	added
besonderhede	details
aangeval	attacked
liberale	liberal
onderwyser	teacher
skilderye	paintings
bar	bavarian
bar	bar
gelaat	left
orrel	organ
organisasies	organizations
deursnee	diameter
weergawes	versions
heidelberg	heidelberg
road	road
cambridge	cambridge
hill	hill
distrikte	districts
holland	holland
fees	festival
beskrywing	superscript
apartheid	apartheid
onthou	remembering
onthou	remember
toekomstige	future
goedere	goods
francois	francois
reël	rule
wyd	wide
dvd	dvd
vriend	friend
ervaar	experience
jacob	jacob
ingeneem	infested
frankfurt	frankfurt
unieke	unique
aand	evening
aand	night
hanteer	handles
hanteer	handle
hanteer	handled
teenwoordig	present
hoofkwartier	headquarters
walter	walter
indo	indo
situasie	situation
direkteur	director
opvoeding	education
sigbaar	visible
onttrek	unsubscribe
mpumalanga	mpumalanga
omstrede	controversial
muur	wall
werklik	truly
plat	flat
plat	plat
siektes	diseases
wyn	wine
stukke	pieces
band	band
band	equaliser
snyman	snyman
gewys	showed
gewys	show
toestemming	consent
toestemming	permission
praktyk	practice
pruise	prussia
farao	pharaoh
wapens	weapons
wapens	badges
saterdag	saturday
definisie	definition
cfg	cfg
rowspan	rowspan
moord	murder
gedeeltelik	partial
gedeeltelik	partially
gevier	celebrated
verlore	lost
leeftyd	lifetime
adriaan	adriaan
verval	expires
verval	expiry
vaar	performing
rekenaar	computer
ysland	iceland
ysland	reload
ysland	shetland
oorblywende	remaining
eienaar	owner
toer	tour
veranderinge	modifications
maatskappye	companies
fraser	fraser
mening	opinion
arm	arm
rhodes	rhodes
landelike	rural
hoort	belongs
hoort	belong
hamburg	hamburg
tekens	tokens
tekens	signs
dialek	dialect
danke	danke
haal	fetch
beperkte	limited
khan	khan
sjinees	chinese
joe	joe
waarom	why
vinnige	fast
rustenburg	rustenburg
romeine	romans
waardes	tables
waardes	values
sterrestelsel	galaxy
konstantinopel	constantinople
behandeling	treatment
uitspraak	pronunciation
viljoen	viljoen
hugo	hugo
kode	code
negatiewe	negative
spesifiek	specific
spesifiek	particular
santa	santa
bottom	bottom
onmiddellik	immediately
ddr	ddr
ddr	gdr
hollandse	dutch
aloe	aloe
war	waray
simon	simon
don	don
beker	cup
arthur	arthur
sterrestelsels	galaxies
münchen	munich
eduard	edward
yster	iconic
yster	iron
giovanni	giovanni
zambië	zambia
spelling	spelling
spelling	splitting
prente	images
prente	pictures
aangekom	arrived
argeologiese	archaeological
vlieg	fly
honderd	hundred
skuld	owe
skuld	debt
skuld	guilt
skuld	shield
parameters	parameters
gereelde	regular
aus	aus
aksie	execution
suurstof	oxygen
newel	nebula
werkers	workers
tradisies	traditions
wenner	winner
samuel	samuel
pietermaritzburg	pietermaritzburg
kenmerke	features
variant	variant
beskawing	civilization
wenners	winners
wind	wind
verlies	loss
limpopo	limpopo
vlaandere	flanders
projekte	projects
sast	sast
universiteite	universities
wladimir	vladimir
christene	christian
testament	testament
rang	rank
bygewoon	attended
bygewoon	attend
bedreig	threatened
harris	harris
sangeres	singer
presiese	precise
presiese	exact
pragtige	gorgeous
rock	rock
gert	gert
stephanus	stephanus
paaie	roads
paaie	paths
kommentaar	function
kommentaar	comment
kommentaar	command
kommentaar	contents
athene	athens
athene	athena
voorste	leading
leeu	lion
leeu	leo
insekte	insects
deesdae	lately
johanna	johanna
johanna	joan
hervormde	reformed
obj	obj
hoor	hearing
may	may
vuur	fire
teenpous	antipope
gevolge	consequences
scott	scott
mary	mary
gemeet	measured
storie	reel
alternatiewe	alternative
alternatiewe	alternate
alternatiewe	alternatives
vleis	meat
kere	times
stuart	stuart
golden	golden
aangehou	detained
toernooi	tournament
duisend	thousand
boodskap	message
georgië	georgia
waterstof	hydrogen
beginsel	principle
leidende	leading
eugene	eugene
apple	apple
ernstig	serious
mede	fellow
beer	bear
mandela	mandela
reën	rain
landskap	landscape
shakespeare	shakespeare
schoeman	schoeman
nasa	nasa
owerhede	authorities
wag	wait
hitte	heat
gedig	poem
ingang	entrance
skaal	scale
lente	spring
gesig	face
kamp	camp
kamp	camping
eenvoudig	simple
eenvoudig	simply
eenvoudig	plain
seksuele	sexual
simbole	symbols
metaal	metal
vorster	vorster
geheime	secrets
geheime	secret
wyfie	female
windhoek	windhoek
natalse	swamp
natalse	natal
positiewe	positive
gemiddeld	average
islam	islam
malta	malta
gehelp	helped
gehelp	helpful
kante	sides
wilde	wild
verban	banned
pools	polish
xiii	xiii
organismes	organisms
instelling	setting
asiatiese	asian
francisco	francisco
weerstand	resistance
kleinste	smallest
premier	premier
uitgeoefen	exercised
gebruike	uses
gebruike	conventions
publieke	public
vrydag	friday
victor	victor
musikant	musician
glen	glen
slawe	slaves
voorstede	suburbs
force	force
quebec	quebec
logo	logo
county	county
werklike	actual
afgelope	past
teenwoordigheid	presence
bedrag	amount
gesamentlike	joint
samesmelting	merger
groeiende	growing
groeiende	waxing
metodes	methods
poësie	poetry
toerisme	tourism
rosenthal	rosenthal
gevange	kidnapped
waarheid	truth
row	row
mengsel	mixture
idees	ideas
fourie	fourie
katte	cats
steve	steve
saturnus	saturn
uitvoer	exports
uitvoer	execute
xii	xii
mure	walls
anton	anton
geëindig	ended
student	student
vinne	flippers
maniere	ways
maniere	manners
geweld	violence
ure	hours
spanning	voltage
slaag	succeed
spoorweë	railroads
tydelik	temporary
armeense	armenian
senior	senior
klasse	classes
gemik	aimed
wetgewing	legislation
sakse	saxony
afhanklik	dependent
elf	eleven
kommunikasie	communication
kommunikasie	communications
grade	degrees
hawaii	hawaii
skyf	disk
skyf	disc
ooreenkomste	agreements
glad	smooth
outeur	writer
outeur	hathor
outeur	author
voorsiening	provision
vrees	fear
juan	juan
formele	formal
habitat	habitat
julius	julius
vloeistof	liquid
niemand	nobody
kenia	kenya
skuif	slide
petersburg	petersburg
lied	song
families	families
medium	medium
xiv	xiv
italiaans	italian
weerspieël	mirror
figuur	figure
tom	tom
ongelukkig	unfortunately
faktore	factors
daniël	daniel
philip	philip
plato	plato
lady	lady
kiesers	voters
brandenburg	brandenburg
selde	rarely
konserwatiewe	conservative
hulpbronne	resources
toneel	scene
vermy	avoid
nel	nel
aspekte	aspects
bbp	gdp
benadering	approximation
benadering	approach
rossouw	rossouw
vasgestel	established
genera	genera
verrig	administrative
carter	carter
skei	split
verhoed	blocked
latyns	latin
eiendom	property
vilnius	vilnius
sewende	seven
honderde	hundreds
cheetahs	cheetahs
jag	hunting
susters	sisters
omliggende	surrounding
rensburg	rensburg
schutte	schutte
versamel	collect
versamel	contained
teorieë	theories
slagoffers	victims
aankoms	arrives
springbokke	springboks
nuus	news
gehuisves	housed
françois	françois
grahamstad	grahamstown
bane	circuits
bane	bane
gestaak	stopped
gestaak	aborted
aangekoop	purchased
uitbreek	breakout
aanhangers	fans
hoekom	why
arbeid	labour
arbeid	labor
briewe	letters
irak	iraq
prestasie	performance
montreal	montreal
strepe	stripes
verdediging	defense
verdediging	defence
sand	sand
brasiliaanse	brazilian
sodra	once
christendom	christianity
ewe	ewe
gedagte	mind
ontsnap	escape
patrick	patrick
poort	port
kastilië	castile
patriarg	patriarch
koerante	newspapers
bul	taurus
elders	elsewhere
normale	normal
stories	stories
vel	skin
glas	glass
stalin	stalin
bernard	bernard
toegeskryf	reassign
toegeskryf	assigned
individuele	individual
florida	florida
beskadig	damaged
betrekkinge	relations
gotiese	gothic
pluto	pluto
pan	pan
owerheid	authority
onderhoud	maintenance
dun	thin
lewens	lives
verklaring	declare
verklaring	declaration
impak	impact
sekondêre	secondary
homo	homo
armenië	armenia
komedie	comedy
hitler	hitler
optree	acting
cooper	cooper
moontlikheid	possibility
gedruk	pressed
bay	bay
gewapende	armed
gewapende	armored
komplekse	complex
harde	hard
star	star
snelheid	velocity
dekade	decade
roep	call
protestantse	protestant
biografie	bio
biografie	biography
russe	russians
half	half
diegene	those
produseer	produces
satelliet	satellite
onderwysers	teachers
onderwysers	educators
encyclopedia	encyclopedia
modelle	models
ffffff	ffffff
syfers	digits
sirië	syria
sahara	sahara
tel	count
tel	counting
persentasie	percentage
afgevaardigdes	delegates
vergader	gather
kunste	arts
grondslag	basis
bykomende	additional
jonathan	jonathan
dik	thick
toetse	tests
spoor	track
spoor	trail
spoor	rail
brussel	brussels
rots	material
theron	theron
heinrich	heinrich
vogel	vogel
fisika	physics
francis	francis
interne	internal
vereeniging	vereeniging
long	lung
liga	league
liga	liga
ingenieur	engineer
konteks	context
aftrede	retirement
liedjies	songs
gesteun	supported
marthinus	marthinus
geologiese	geologic
dans	dance
dans	dancing
beginsels	principles
dokter	doctor
tydelike	temporary
vergeleke	compared
jerusalem	jerusalem
kapasiteit	capacity
vorms	shapes
vorms	forms
vorms	form
guinee	guinea
opposisie	opposition
uys	uys
bespreking	reservation
bespreking	discussion
verkeer	traffic
operasie	operation
teologie	theology
rus	rest
nodige	necessary
gras	grass
gedeel	shared
gedeel	shares
henri	henri
dek	covers
niekerk	niekerk
blankes	whites
rug	back
heen	somewhere
sultan	sultan
portugees	portuguese
elektrisiteit	electricity
elektrisiteit	lower
elektrisiteit	power
enwiki	enwiki
gns	gns
windows	windows
verowering	conquest
gelaai	loaded
verteenwoordigers	representatives
deeltjies	particles
lok	attract
lee	lee
werksaam	working
depressie	depression
omskep	convert
pare	pairs
gehalte	quality
strate	streets
verre	distant
horisontale	horizontal
witwatersrand	witwatersrand
maandag	monday
ondersteuners	supporters
dame	queen
dame	lady
herbou	rebuild
herbou	rebuilds
veranderings	change
gerig	directed
opskrif	headline
opskrif	caption
opskrif	sender
opskrif	fade
banke	banks
kampioen	champion
gevlug	skipped
rekenaars	computers
indruk	impression
mannetjie	male
jeug	youth
chemie	chemistry
absolute	absolute
ruim	blockages
internasionaal	international
verdeling	diversions
voldoende	sufficient
voldoende	adequate
rousseau	rousseau
ferdinand	ferdinand
doop	doop
verwoerd	verwoerd
dokument	document
napoleon	napoleon
muller	muller
sover	bricks
belasting	tax
retief	retief
tony	tony
vang	catch
vang	capture
ene	ones
resultate	results
volgorde	order
tuine	gardens
vuurtoring	lighthouse
koper	buyer
koper	copper
mount	mount
baai	bay
kandidate	candidates
aanvang	started
komponente	components
uitwerking	affect
warskou	warsaw
toneelstuk	play
romans	novels
tydskrifte	magazines
kulture	cultures
frederick	frederick
beslis	definitely
geregistreer	registered
geregistreer	subscribed
hesse	hesse
taylor	taylor
kol	kol
door	door
indonesië	indonesia
reitz	reitz
geleer	learned
geleer	learnt
ras	race
spreek	thrash
spreek	concern
organiese	organic
dollar	dollar
rotse	rocks
lawrence	lawrence
front	front
ryn	rhine
belfast	belfast
monargie	monarch
monargie	monarchy
monargie	oligarchy
robertson	robertson
verbindings	connections
stadig	slow
stadig	slowly
meyer	meyer
besetting	lineup
besetting	occupation
geloop	walked
geloop	launched
crusaders	crusaders
baltiese	baltic
evangelie	gospel
ernst	ernst
romantiese	romantic
invloede	influences
zoeloe	zulu
kenmerk	feature
welkom	welcome
welkom	welkom
handhaaf	maintain
handhaaf	uphold
personeel	staff
utrecht	utrecht
oortuig	convinced
zar	zar
williams	williams
take	tasks
veroordeel	condemn
blues	blues
navorsers	researchers
lewis	lewis
carlos	carlos
oorsaak	cause
mike	mike
willie	willie
administrateur	administrator
vin	vin
ekstra	extra
grieke	greeks
ding	thing
aanvanklike	initial
krisis	crisis
donderdag	thursday
geroep	called
são	são
skepping	creation
stowwe	substances
breed	broad
gevang	caught
vyftig	fifty
minerale	minerals
toegerus	equipped
deelname	participation
perde	horses
kantoor	office
nationalteam	nationalteam
oorhandig	handing
xhosa	xhosa
getuig	testify
oorweeg	considered
uitgesaai	broadcast
brandstof	fuel
aangrensende	adjoining
aangrensende	adjacent
gelees	read
mane	mane
sitplekke	seats
sitplekke	seat
renaissance	renaissance
vergesel	accompanied
individue	individuals
kompleks	complex
religieuse	religious
anoniem	anonymous
brei	knitting
oudtshoorn	oudtshoorn
reign	reign
buitenste	outermost
veg	veg
veg	fight
gemengde	mixed
aansoek	application
country	country
vinniger	faster
free	free
bremen	bremen
noodwendig	necessarily
opera	opera
figure	figures
movt	movt
true	true
toegestaan	granted
oostenrykse	austrian
identiteit	identity
steenkool	coal
geskuif	moved
stat	stat
outomaties	auto
outomaties	automatic
leonardo	leonardo
verdedig	defend
swaartekrag	gravity
alliansie	alliance
inheems	aborigine
instrumente	instruments
klere	clothing
klere	clothes
max	max
groote	size
florence	florence
las	load
behartig	regulate
stefanus	stephen
besluite	decisions
uitgewer	publisher
materie	matter
geskikte	appropriate
tanzanië	tanzania
colin	colin
vlaamse	vlaamse
leon	leon
verwar	disturbing
hollywood	hollywood
georg	georg
spring	jump
spring	jumping
perd	horse
kuslyn	coast
regerings	governments
vlakte	flats
jansen	jansen
pres	pres
moeite	hassle
moeite	effort
hiermee	hereby
siek	sick
wolf	wolf
vermont	vermont
gewysig	edited
