மற்றும்	and
கூட்டு	associations
எனது	my
திட்டங்கள்	plans
திட்டங்கள்	projects
அண்ணா	anna
உயரம்	height
தரம்	grade
தரம்	quality
வரையில்	until
எளிய	simple
தமிழர்கள்	tamils
ஒப்பந்தம்	pact
ஒப்பந்தம்	contract
பணிகள்	tasks
பணிகள்	jobs
தேவி	devi
நிலம்	land
யார்	who
நா	na
மண்டலம்	region
மண்டலம்	zone
குற்றம்	guilty
குற்றம்	crime
கிருஷ்ணகிரி	krishnagiri
அன்னை	mother
இரட்டை	double
இரட்டை	twin
இரட்டை	dual
அலுவலகம்	office
வீடு	home
வீடு	residence
வீடு	house
சந்தை	marketplace
சந்தை	market
தலை	head
அனைத்துலக	international
உரிமைகள்	rights
நீ	you
கிராம	village
திறந்த	open
முழுமையாக	fully
முழுமையாக	completely
நெடுஞ்சாலை	highway
கோட்பாடு	theory
மாதிரி	sample
மாதிரி	trails
மாதிரி	model
மாதிரி	mockup
நடிகைகள்	actresses
தெரிவு	choice
குமார்	kumar
கட்டி	tumor
பிரதான	major
பிரதான	main
அறிவு	knowledge
பொறுத்து	depending
கன்னியாகுமரி	kanyakumari
தெரியவில்லை	neutral
வழங்கி	server
பண்பாடு	culture
ராஜா	raja
ராஜா	king
சூழல்	environment
சூழல்	context
கடுமையான	tough
கடுமையான	roughness
கடுமையான	severe
எண்ணெய்	oil
பொருட்களை	stuff
வானியல்	astronomy
மாற்று	switch
மாற்று	convert
மாற்று	change
மாற்று	replace
இராச்சியம்	realm
இணையதளம்	website
வாழ்ந்து	living
மழை	rainy
மழை	rain
தெரிகிறது	seems
தெரிகிறது	looks
கார்பன்	carbon
உலகளாவிய	worldwide
உலகளாவிய	global
தோன்றும்	splash
தோன்றும்	appear
ஏற்றுக்	accepted
நான்காவது	fourth
பேருந்து	bus
வழக்கமாக	regularly
வழக்கமாக	usually
விதி	fate
விதி	rule
தெரு	street
இறைவன்	lord
நிகழும்	occurs
யூ	yoo
கண்	eye
மகள்	daughter
உடைய	of
தேசியக்	national
மூல	original
இடது	left
எல்லாம்	everything
எல்லாம்	all
நிலையான	fixed
நிலையான	standard
சிறப்பான	special
தோல்	leather
தோல்	skin
பெருமாள்	perumal
கூடுதலாக	extra
}}}}}}}	}}}}}}}
கால்	leg
கால்	cattle
கால்	foot
கால்	quarter
ஆர்வம்	interested
ஆர்வம்	interest
கவனம்	concentration
கவனம்	attention
கவனம்	focus
மூத்த	senior
மூத்த	eldest
நினைவு	memory
கோடி	crore
கோடி	crores
உருவானது	formed
தூய	pure
பவுல்	foul
கவிதைகள்	poems
நிறுவப்பட்டது	stalled
நிறுவப்பட்டது	installed
வாய்ப்பு	chance
வாய்ப்பு	opportunity
மத்தியில்	centred
சிதம்பரம்	chidambaram
மருந்து	medicine
மருந்து	pharmaceutical
மா	maa
மா	mango
மா	ma
ஏன்	why
ஆனார்	became
கிடைத்தது	got
தொலைபேசி	phone
தொலைபேசி	telephone
ரவி	ravi
கட்டமைப்பு	structural
கட்டமைப்பு	configuration
கட்டமைப்பு	structure
முருகன்	kartikeya
முருகன்	murugan
பாரம்பரிய	classical
பாரம்பரிய	traditional
சின்னம்	icon
எண்கள்	numbers
தொழில்நுட்பம்	technology
ஏரி	lake
வரிசையில்	queued
பாடிய	sung
சிலை	idol
சிலை	statue
வெள்ளி	fri
வெள்ளி	friday
வெள்ளி	silver
இலத்தீன்	latin
சோழன்	cholan
சோழன்	chola
நேச	allied
நேரடி	live
நேரடி	direct
சுற்றுலா	tourist
சுற்றுலா	tour
சுற்றுலா	tours
சுற்றுலா	tourism
கிராமத்தில்	village
நமது	thw
நமது	our
எனக்கு	me
புலிகள்	tigers
அவர்களை	them
அனுமதி	appointment
அனுமதி	permission
அனுமதி	unblock
அனுமதி	allow
அனுமதி	approve
ராமநாதபுரம்	ramanathapuram
பயன்	usage
பயன்	benefit
நிகழ்வு	event
ஆதி	adi
மைல்	miles
மைல்	mile
வளரும்	growing
வளரும்	grows
வளரும்	developing
கால்பந்து	football
உடலில்	body
பக்க	side
சான்	chan
சான்	san
உயரத்தில்	height
கொண்டுள்ள	containing
அமிலம்	acid
விண்டோஸ்	windows
பாண்டியன்	pandiyan
பாண்டியன்	pandian
கூட்டமைப்பு	federation
கூட்டமைப்பு	confederation
உத்தரப்	uttar
தொழிலாளர்	labor
விலங்குகள்	animals
மறு	decline
மறு	deny
மறு	reject
முடிவுகள்	results
மனிதன்	human
மனிதன்	man
மாணவர்	student
பேசும்	speaking
குறிப்பிடுகிறது	specifies
நோக்கம்	objective
நோக்கம்	mission
கடந்து	passed
கடந்து	passing
உருவாக்கி	generator
உருவாக்கி	creator
உருவாக்கி	composer
உருவாக்கி	developer
பாண்டிய	pandya
ஒத்த	similar
பச்சை	green
கரூர்	karur
அலகு	unit
உள்நாட்டு	domestic
நகராட்சி	municipality
கோவை	kovai
